Year,Month,Day,Hour,Minute,Second,SunLongitude,SunDistance,Zodiac,Daylight,MercuryLongitude,MercuryLatitude,MercuryDistance,VenusLongitude,VenusLatitude,VenusDistance,MarsLongitude,MarsLatitude,MarsDistance,JupiterLongitude,JupiterLatitude,JupiterDistance,SaturnLongitude,SaturnLatitude,SaturnDistance,UranusLongitude,UranusLatitude,UranusDistance,NeptuneLongitude,NeptuneLatitude,NeptuneDistance,PlutoLongitude,PlutoLatitude,PlutoDistance,MoonLongitude,MoonLatitude,MoonDistance,Phase
2018,1,1,0,0,0,280.006642,0.983322,Capricorn,9.294420,257.469445,2.041208,0.993706,277.970551,-0.459555,1.709055,223.767430,0.902540,1.957983,226.693540,1.051113,5.961283,271.133999,0.899041,11.019056,24.341287,-0.571749,19.640127,341.668620,-0.912278,30.399330,288.534476,0.454863,34.443691,84.340739,-4.089579,0.002435,164.334101
2018,1,1,6,0,0,280.261422,0.983319,Capricorn,9.296705,257.707301,2.006346,0.998878,278.285179,-0.468992,1.709153,223.923376,0.900954,1.955795,226.735789,1.051501,5.957995,271.163315,0.898822,11.018394,24.340919,-0.571601,19.644295,341.674037,-0.912202,30.403141,288.542918,0.454471,34.444485,88.016747,-3.880300,0.002433,167.755316
2018,1,1,12,0,0,280.516221,0.983315,Capricorn,9.299046,257.949031,1.971274,1.004023,278.599805,-0.478406,1.709248,224.079304,0.899362,1.953606,226.777938,1.051891,5.954700,271.192618,0.898604,11.017714,24.340603,-0.571454,19.648466,341.679485,-0.912127,30.406948,288.551365,0.454080,34.445255,91.694135,-3.654787,0.002433,171.177910
2018,1,1,18,0,0,280.771021,0.983312,Capricorn,9.301445,258.194522,1.936009,1.009138,278.914429,-0.487796,1.709342,224.235218,0.897763,1.951415,226.819987,1.052283,5.951396,271.221910,0.898387,11.017018,24.340344,-0.571306,19.652643,341.684964,-0.912052,30.410742,288.559816,0.453688,34.446011,95.371372,-3.414046,0.002432,174.600354
2018,1,2,0,0,0,281.025840,0.983310,Capricorn,9.303900,258.443662,1.900566,1.014223,279.229050,-0.497163,1.709432,224.391117,0.896158,1.949221,226.861933,1.052676,5.948083,271.251189,0.898172,11.016306,24.340137,-0.571159,19.656824,341.690472,-0.911978,30.414528,288.568269,0.453297,34.446751,99.046953,-3.159170,0.002432,178.021115
2018,1,2,6,0,0,281.280639,0.983307,Capricorn,9.306412,258.696343,1.864959,1.019279,279.543670,-0.506505,1.709521,224.547001,0.894546,1.947026,226.903778,1.053072,5.944761,271.280454,0.897958,11.015578,24.339985,-0.571011,19.661009,341.696010,-0.911903,30.418308,288.576728,0.452906,34.447468,102.719409,-2.891330,0.002433,181.438777
2018,1,2,12,0,0,281.535458,0.983305,Capricorn,9.308981,258.952460,1.829203,1.024303,279.858286,-0.515823,1.709607,224.702870,0.892928,1.944828,226.945520,1.053469,5.941432,271.309706,0.897745,11.014834,24.339887,-0.570864,19.665199,341.701578,-0.911829,30.422075,288.585190,0.452516,34.448170,106.387303,-2.611772,0.002434,184.851851
2018,1,2,18,0,0,281.790238,0.983304,Capricorn,9.311606,259.211912,1.793310,1.029297,280.172899,-0.525116,1.709690,224.858720,0.891303,1.942628,226.987165,1.053868,5.938093,271.338945,0.897533,11.014074,24.339848,-0.570716,19.669392,341.707177,-0.911756,30.425835,288.593656,0.452126,34.448849,110.049258,-2.321799,0.002436,188.259012
2018,1,3,0,0,0,282.045057,0.983302,Capricorn,9.314287,259.474604,1.757295,1.034258,280.487511,-0.534383,1.709771,225.014556,0.889672,1.940426,227.028701,1.054269,5.934745,271.368169,0.897323,11.013298,24.339857,-0.570568,19.673592,341.712807,-0.911682,30.429585,288.602124,0.451736,34.449516,113.703945,-2.022765,0.002438,191.658879
2018,1,3,6,0,0,282.299856,0.983301,Capricorn,9.317025,259.740437,1.721169,1.039187,280.802119,-0.543625,1.709849,225.170375,0.888034,1.938223,227.070135,1.054672,5.931390,271.397380,0.897114,11.012506,24.339926,-0.570420,19.677792,341.718463,-0.911609,30.433323,288.610594,0.451346,34.450161,117.350095,-1.716062,0.002441,195.050235
2018,1,3,12,0,0,282.554675,0.983301,Capricorn,9.319820,260.009320,1.684943,1.044084,281.116725,-0.552841,1.709925,225.326179,0.886389,1.936017,227.111466,1.055077,5.928025,271.426576,0.896906,11.011697,24.340045,-0.570272,19.681995,341.724152,-0.911536,30.437054,288.619072,0.450956,34.450787,120.986503,-1.403109,0.002444,198.431822
2018,1,3,18,0,0,282.809475,0.983300,Capricorn,9.322671,260.281164,1.648631,1.048948,281.431326,-0.562030,1.709999,225.481963,0.884738,1.933809,227.152689,1.055483,5.924652,271.455757,0.896700,11.010872,24.340221,-0.570124,19.686205,341.729868,-0.911464,30.440775,288.627549,0.450567,34.451397,124.612032,-1.085340,0.002448,201.802558
2018,1,4,0,0,0,283.064294,0.983300,Capricorn,9.325578,260.555884,1.612243,1.053779,281.745927,-0.571191,1.710070,225.637734,0.883080,1.931599,227.193810,1.055891,5.921272,271.484922,0.896494,11.010032,24.340449,-0.569976,19.690420,341.735615,-0.911392,30.444487,288.636029,0.450178,34.451988,128.225619,-0.764191,0.002452,205.161324
2018,1,4,6,0,0,283.319112,0.983300,Capricorn,9.328542,260.833397,1.575789,1.058577,282.060522,-0.580326,1.710138,225.793487,0.881416,1.929387,227.234827,1.056301,5.917882,271.514072,0.896290,11.009174,24.340732,-0.569828,19.694637,341.741390,-0.911320,30.448191,288.644516,0.449789,34.452557,131.826270,-0.441094,0.002456,208.507154
2018,1,4,12,0,0,283.573912,0.983301,Capricorn,9.331562,261.113620,1.539280,1.063340,282.375115,-0.589433,1.710205,225.949222,0.879745,1.927173,227.275732,1.056713,5.914485,271.543207,0.896088,11.008302,24.341070,-0.569680,19.698858,341.747196,-0.911248,30.451883,288.653002,0.449400,34.453114,135.413060,-0.117461,0.002461,211.839151
2018,1,4,18,0,0,283.828731,0.983302,Capricorn,9.334638,261.396479,1.502726,1.068070,282.689706,-0.598511,1.710268,226.104945,0.878067,1.924957,227.316535,1.057127,5.911079,271.572325,0.895886,11.007413,24.341464,-0.569532,19.703081,341.753029,-0.911177,30.455564,288.661492,0.449012,34.453648,138.985151,0.205319,0.002466,215.156422
2018,1,5,0,0,0,284.083530,0.983303,Capricorn,9.337769,261.681896,1.466135,1.072765,283.004293,-0.607561,1.710330,226.260647,0.876382,1.922738,227.357232,1.057542,5.907666,271.601427,0.895686,11.006508,24.341909,-0.569384,19.707310,341.758894,-0.911106,30.459238,288.669984,0.448624,34.454166,142.541766,0.525896,0.002472,218.458243
2018,1,5,6,0,0,284.338349,0.983305,Capricorn,9.340957,261.969799,1.429517,1.077426,283.318877,-0.616582,1.710388,226.416336,0.874691,1.920518,227.397822,1.057960,5.904243,271.630513,0.895487,11.005588,24.342413,-0.569235,19.711542,341.764787,-0.911035,30.462900,288.678478,0.448236,34.454666,146.082207,0.842964,0.002478,221.743863
2018,1,5,12,0,0,284.593129,0.983307,Capricorn,9.344201,262.260117,1.392882,1.082052,283.633457,-0.625574,1.710445,226.572004,0.872993,1.918296,227.438306,1.058379,5.900813,271.659581,0.895289,11.004649,24.342968,-0.569087,19.715775,341.770706,-0.910965,30.466553,288.686973,0.447849,34.455147,149.605852,1.155267,0.002484,225.012715
2018,1,5,18,0,0,284.847948,0.983309,Capricorn,9.347501,262.552783,1.356236,1.086643,283.948034,-0.634536,1.710499,226.727656,0.871288,1.916072,227.478676,1.058800,5.897375,271.688632,0.895093,11.003696,24.343581,-0.568939,19.720013,341.776657,-0.910895,30.470196,288.695471,0.447461,34.455612,153.112148,1.461604,0.002491,228.264191
