Year,Month,Day,Hour,Minute,Second,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Zodiac,Daylight,Phase
2018,1,1,0,0,0,280.006642,81.891595,257.469445,277.970551,223.767430,226.693541,271.133999,24.341287,341.668621,288.534476,Capricorn,9.294420,161.884957
2018,1,1,6,0,0,280.261422,85.565827,257.707302,278.285179,223.923375,226.735790,271.163315,24.340919,341.674037,288.542918,Capricorn,9.296705,165.304396
2018,1,1,12,0,0,280.516221,89.242467,257.949031,278.599805,224.079307,226.777938,271.192619,24.340603,341.679486,288.551364,Capricorn,9.299046,168.726243
2018,1,1,18,0,0,280.771021,92.919973,258.194522,278.914429,224.235216,226.819986,271.221910,24.340344,341.684964,288.559816,Capricorn,9.301445,172.148955
2018,1,2,0,0,0,281.025840,96.596824,258.443663,279.229051,224.391119,226.861931,271.251188,24.340137,341.690472,288.568269,Capricorn,9.303900,175.570985
2018,1,2,6,0,0,281.280639,100.271524,258.696344,279.543670,224.547002,226.903779,271.280454,24.339986,341.696011,288.576729,Capricorn,9.306412,178.990893
2018,1,2,12,0,0,281.535458,103.942618,258.952459,279.858287,224.702869,226.945520,271.309706,24.339886,341.701578,288.585190,Capricorn,9.308981,182.407165
2018,1,2,18,0,0,281.790238,107.608683,259.211913,280.172899,224.858721,226.987166,271.338945,24.339849,341.707177,288.593656,Capricorn,9.311606,185.818437
2018,1,3,0,0,0,282.045057,111.268360,259.474604,280.487511,225.014557,227.028701,271.368169,24.339857,341.712806,288.602124,Capricorn,9.314287,189.223294
2018,1,3,6,0,0,282.299856,114.920336,259.740436,280.802119,225.170374,227.070136,271.397380,24.339926,341.718463,288.610594,Capricorn,9.317025,192.620476
2018,1,3,12,0,0,282.554675,118.563370,260.009320,281.116725,225.326181,227.111466,271.426576,24.340045,341.724151,288.619072,Capricorn,9.319820,196.008689
2018,1,3,18,0,0,282.809475,122.196275,260.281163,281.431327,225.481961,227.152689,271.455757,24.340221,341.729869,288.627549,Capricorn,9.322671,199.386801
2018,1,4,0,0,0,283.064294,125.817942,260.555885,281.745927,225.637732,227.193809,271.484922,24.340448,341.735615,288.636030,Capricorn,9.325578,202.753647
2018,1,4,6,0,0,283.319112,129.427320,260.833397,282.060522,225.793487,227.234827,271.514072,24.340732,341.741391,288.644517,Capricorn,9.328542,206.108204
2018,1,4,12,0,0,283.573912,133.023452,261.113620,282.375115,225.949222,227.275735,271.543207,24.341071,341.747196,288.653002,Capricorn,9.331562,209.449543
2018,1,4,18,0,0,283.828731,136.605427,261.396479,282.689706,226.104946,227.316536,271.572325,24.341464,341.753029,288.661491,Capricorn,9.334638,212.776697
2018,1,5,0,0,0,284.083530,140.172445,261.681896,283.004293,226.260647,227.357233,271.601427,24.341908,341.758894,288.669984,Capricorn,9.337769,216.088922
2018,1,5,6,0,0,284.338349,143.723741,261.969799,283.318877,226.416335,227.397823,271.630513,24.342413,341.764787,288.678477,Capricorn,9.340957,219.385398
2018,1,5,12,0,0,284.593129,147.258653,262.260117,283.633456,226.572003,227.438305,271.659581,24.342969,341.770706,288.686973,Capricorn,9.344201,222.665516
2018,1,5,18,0,0,284.847948,150.776573,262.552782,283.948034,226.727658,227.478675,271.688632,24.343581,341.776658,288.695472,Capricorn,9.347501,225.928616
2018,1,6,0,0,0,285.102747,154.276975,262.847728,284.262607,226.883291,227.518943,271.717666,24.344246,341.782634,288.703971,Capricorn,9.350856,229.174223
2018,1,6,6,0,0,285.357547,157.759402,263.144895,284.577176,227.038904,227.559099,271.746681,24.344966,341.788643,288.712476,Capricorn,9.354268,232.401858
2018,1,6,12,0,0,285.612366,161.223461,263.444217,284.891742,227.194506,227.599144,271.775679,24.345739,341.794679,288.720976,Capricorn,9.357735,235.611096
2018,1,6,18,0,0,285.867165,164.668826,263.745637,285.206305,227.350092,227.639079,271.804658,24.346569,341.800744,288.729483,Capricorn,9.361257,238.801667
2018,1,7,0,0,0,286.121945,168.095241,264.049098,285.520864,227.505654,227.678910,271.833618,24.347453,341.806838,288.737989,Capricorn,9.364835,241.973289
2018,1,7,6,0,0,286.376745,171.502504,264.354543,285.835418,227.661200,227.718622,271.862559,24.348390,341.812958,288.746497,Capricorn,9.368469,245.125759
2018,1,7,12,0,0,286.631544,174.890481,264.661921,286.149969,227.816729,227.758226,271.891480,24.349382,341.819106,288.755008,Capricorn,9.372158,248.258943
2018,1,7,18,0,0,286.886324,178.259095,264.971179,286.464515,227.972240,227.797721,271.920382,24.350431,341.825286,288.763515,Capricorn,9.375902,251.372763
2018,1,8,0,0,0,287.141124,181.608321,265.282268,286.779059,228.127734,227.837103,271.949264,24.351535,341.831489,288.772028,Capricorn,9.379701,254.467196
2018,1,8,6,0,0,287.395923,184.938194,265.595139,287.093597,228.283211,227.876368,271.978126,24.352689,341.837725,288.780539,Capricorn,9.383556,257.542275
2018,1,8,12,0,0,287.650684,188.248797,265.909747,287.408131,228.438664,227.915523,272.006967,24.353904,341.843984,288.789050,Capricorn,9.387465,260.598112
2018,1,8,18,0,0,287.905483,191.540266,266.226047,287.722660,228.594100,227.954565,272.035787,24.355168,341.850273,288.797565,Capricorn,9.391430,263.634788
2018,1,9,0,0,0,288.160244,194.812783,266.543996,288.037188,228.749522,227.993491,272.064586,24.356487,341.856587,288.806075,Capricorn,9.395449,266.652539
