Year,Month,Day,Hour,Minute,Second,SunLongitude,SunDistance,Zodiac,Daylight,MercuryLongitude,MercuryLatitude,MercuryDistance,VenusLongitude,VenusLatitude,VenusDistance,MarsLongitude,MarsLatitude,MarsDistance,JupiterLongitude,JupiterLatitude,JupiterDistance,SaturnLongitude,SaturnLatitude,SaturnDistance,UranusLongitude,UranusLatitude,UranusDistance,NeptuneLongitude,NeptuneLatitude,NeptuneDistance,PlutoLongitude,PlutoLatitude,PlutoDistance,MoonLongitude,MoonLatitude,MoonDistance,MoonPhase
2019,1,1,0,0,0,279.745237,0.983327,Capricorn,9.292135,263.237990,0.156654,1.293182,232.993132,3.439355,0.632789,359.517826,-0.303881,1.258870,251.502684,0.630115,6.196880,281.115807,0.485178,11.025549,28.378807,-0.535154,19.528563,343.833188,-0.969885,30.353127,290.332893,-0.101367,34.671738,221.114546,5.003134,0.002553,301.369313
2019,1,1,6,0,0,280.000017,0.983323,Capricorn,9.294362,263.602987,0.125121,1.296151,233.238034,3.441354,0.634686,359.685797,-0.298162,1.260974,251.555190,0.629989,6.194890,281.145384,0.484883,11.025626,28.377519,-0.535014,19.532637,343.838304,-0.969799,30.357023,290.341228,-0.101743,34.672684,224.458793,4.924378,0.002561,304.458767
2019,1,1,12,0,0,280.254816,0.983319,Capricorn,9.296645,263.968592,0.093709,1.299083,233.483444,3.443167,0.636584,359.853797,-0.292461,1.263079,251.607646,0.629864,6.192887,281.174962,0.484589,11.025688,28.376287,-0.534874,19.536716,343.843451,-0.969713,30.360914,290.349570,-0.102120,34.673611,227.781258,4.829452,0.002569,307.526439
2019,1,1,18,0,0,280.509635,0.983316,Capricorn,9.298985,264.334791,0.062423,1.301977,233.729350,3.444796,0.638482,0.021826,-0.286776,1.265184,251.660051,0.629740,6.190871,281.204541,0.484295,11.025733,28.375106,-0.534734,19.540800,343.848631,-0.969627,30.364796,290.357916,-0.102496,34.674526,231.081998,4.718982,0.002577,310.572357
2019,1,2,0,0,0,280.764435,0.983313,Capricorn,9.301382,264.701576,0.031264,1.304834,233.975753,3.446243,0.640380,0.189885,-0.281109,1.267291,251.712407,0.629618,6.188843,281.234121,0.484002,11.025763,28.373981,-0.534594,19.544891,343.853839,-0.969541,30.368668,290.366269,-0.102872,34.675419,234.361151,4.593634,0.002585,313.596717
2019,1,2,6,0,0,281.019234,0.983310,Capricorn,9.303836,265.068936,0.000235,1.307654,234.222649,3.447507,0.642278,0.357971,-0.275458,1.269398,251.764710,0.629496,6.186803,281.263702,0.483710,11.025774,28.372908,-0.534454,19.548988,343.859081,-0.969456,30.372532,290.374623,-0.103249,34.676296,237.618947,4.454096,0.002593,316.599720
2019,1,2,12,0,0,281.274053,0.983308,Capricorn,9.306346,265.436864,-0.030661,1.310438,234.470030,3.448591,0.644177,0.526086,-0.269824,1.271506,251.816963,0.629375,6.184751,281.293284,0.483418,11.025770,28.371889,-0.534314,19.553091,343.864352,-0.969371,30.376387,290.382982,-0.103625,34.677151,240.855683,4.301082,0.002601,319.581635
2019,1,2,18,0,0,281.528833,0.983306,Capricorn,9.308913,265.805350,-0.061422,1.313185,234.717899,3.449496,0.646077,0.694228,-0.264208,1.273615,251.869165,0.629256,6.182687,281.322864,0.483128,11.025750,28.370925,-0.534173,19.557199,343.869653,-0.969286,30.380236,290.391349,-0.104001,34.677990,244.071738,4.135321,0.002608,322.542897
2019,1,3,0,0,0,281.783671,0.983304,Capricorn,9.311537,266.174388,-0.092043,1.315895,234.966244,3.450222,0.647976,0.862398,-0.258608,1.275725,251.921312,0.629138,6.180611,281.352446,0.482837,11.025714,28.370014,-0.534033,19.561314,343.874986,-0.969202,30.384075,290.399718,-0.104378,34.678810,247.267559,3.957560,0.002616,325.483897
2019,1,3,6,0,0,282.038451,0.983303,Capricorn,9.314217,266.543968,-0.122524,1.318569,235.215059,3.450771,0.649876,1.030595,-0.253025,1.277835,251.973407,0.629020,6.178522,281.382028,0.482548,11.025660,28.369158,-0.533892,19.565434,343.880350,-0.969118,30.387905,290.408093,-0.104754,34.679615,250.443656,3.768551,0.002624,328.405201
2019,1,3,12,0,0,282.293270,0.983302,Capricorn,9.316954,266.914084,-0.152862,1.321207,235.464349,3.451143,0.651776,1.198818,-0.247458,1.279947,252.025452,0.628904,6.176422,281.411608,0.482259,11.025591,28.368357,-0.533752,19.569557,343.885743,-0.969034,30.391724,290.416471,-0.105131,34.680401,253.600601,3.569053,0.002631,331.307325
2019,1,3,18,0,0,282.548070,0.983301,Capricorn,9.319747,267.284730,-0.183053,1.323809,235.714101,3.451341,0.653676,1.367068,-0.241909,1.282059,252.077440,0.628789,6.174309,281.441186,0.481971,11.025505,28.367609,-0.533611,19.573687,343.891166,-0.968950,30.395538,290.424852,-0.105508,34.681164,256.739023,3.359829,0.002638,334.190954
2019,1,4,0,0,0,282.802889,0.983301,Capricorn,9.322597,267.655899,-0.213096,1.326375,235.964313,3.451365,0.655576,1.535344,-0.236376,1.284172,252.129375,0.628675,6.172184,281.470763,0.481684,11.025403,28.366915,-0.533470,19.577822,343.896622,-0.968867,30.399342,290.433241,-0.105884,34.681911,259.859604,3.141641,0.002645,337.056714
2019,1,4,6,0,0,283.057688,0.983301,Capricorn,9.325502,268.027584,-0.242988,1.328906,236.214982,3.451216,0.657477,1.703645,-0.230859,1.286286,252.181257,0.628562,6.170047,281.500339,0.481398,11.025285,28.366276,-0.533329,19.581963,343.902104,-0.968784,30.403135,290.441629,-0.106261,34.682644,262.963068,2.915249,0.002652,339.905385
